IP,A-ID,B-ID,Anno,
127.0.0.1,28,96,A,
127.0.0.1,19,166,A,
127.0.0.1,193,112,E,
127.0.0.1,153,200,B,
127.0.0.1,187,192,N,
10.27.169.251,12,169,N,
10.27.169.251,85,63,B,
10.27.169.251,131,179,E,
10.27.169.251,2,59,E,
10.27.169.251,163,78,E,
10.27.169.251,77,174,E,
10.27.169.251,186,108,A,
10.27.169.251,122,155,E,
10.27.169.251,32,148,A,
127.0.0.1,166,46,N,
127.0.0.1,54,167,N,
127.0.0.1,26,49,B,
127.0.0.1,38,154,N,
127.0.0.1,168,74,B,
127.0.0.1,82,101,N,
127.0.0.1,178,4,A,
10.27.169.251,160,121,N,
10.27.169.251,69,124,N,
10.27.169.251,165,79,A,
127.0.0.1,160,84,N,
127.0.0.1,75,17,N,
127.0.0.1,69,73,N,
