fe5ff393-55d2-4684-b2b5-8cb19272dde7,A,A,B,A,B,A,,
385a4d26-20f6-497c-a720-0e86e41a9cc1,A,A,A,A,22,A,,
a10c9649-0941-4ddf-8c50-c2d4c67d1d43,A,A,A,A,,C,,
f6db5b9f-bebf-4f86-b80f-c49e55cde2a9,A,A,A,A,,C,,
d6feb5dc-b6d9-4f73-9688-29c33edb6d4d,B,C,A,D,26,A,,
acea72c7-0e2d-405a-9a5c-459840869add,A,A,C,C,22,A,,
e13f1fc9-59f4-4585-aa3b-eb807afb3db9,B,B,A,B,24,A,,
d13e979d-7ecb-43ae-a6cb-c94bfee93d3a,C,B,A,C,25,A,,
4a84a334-88c1-4fae-8fbb-447dcb10e516,B,B,A,C,23,A,,
940ae292-bc5d-4607-ad43-9928777fb329,C,B,C,A,,C,,
acea72c7-0e2d-405a-9a5c-459840869add,A,A,C,C,22,A,,
b5d826e2-cc95-4d1c-b1e2-ae6971fa67e7,B,A,A,B,22,A,,
